1,12,1.4690999832
2,6,1.4690999821
3,8,1.469099981
4,5,1.4690999799
5,8,1.4690999788
6,8,1.4690999777
7,9,1.4690999766
8,7,1.4690999755
9,-5,1.4690999744
10,3,1.4690999733
11,5,1.4690999722
12,2,1.4690999711
13,2,1.46909997
14,3,1.4690999689
15,-1,1.4690999678
16,5,1.4690999667
17,6,1.4690999656
18,4,1.4690999645
19,3,1.4690999634
20,5,1.4690999623
21,4,1.4690999612
22,2,1.4690999601
23,6,1.469099959
24,7,1.4690999579
25,7,1.4690999568
26,8,1.4690999557
27,14,1.4690999546
28,9,1.4690999535
29,4,1.4690999524
30,7,1.4690999513
31,4,1.4690999502
32,3,1.4690999491
33,4,1.469099948
34,8,1.4690999469
35,6,1.4690999458
36,4,1.4690999447
37,11,1.4690999436
38,9,1.4690999425
39,4,1.4690999414
40,3,1.4690999403
41,0,1.4690999392
42,3,1.4690999381
43,6,1.469099937
44,3,1.4690999359
45,4,1.4690999348
46,2,1.4690999337
47,3,1.4690999326
48,10,1.4690999315
49,6,1.4690999304
50,8,1.4690999293
51,11,1.4690999282
52,11,1.4690999271
53,11,1.469099926
54,2,1.4690999249
55,9,1.4690999238
56,7,1.4690999227
57,3,1.4690999216
58,8,1.4690999205
59,7,1.4690999194
60,4,1.4690999183
61,4,1.4690999172
62,0,1.4690999161
63,-4,1.469099915
64,2,1.4690999139
65,5,1.4690999128
66,4,1.4690999117
67,4,1.4690999106
68,6,1.4690999095
69,9,1.4690999084
70,6,1.4690999073
71,6,1.4690999062
72,0,1.4690999051
73,4,1.469099904
74,7,1.4690999029
75,4,1.4690999018
76,3,1.4690999007
77,5,1.4690998996
78,7,1.4690998985
79,3,1.4690998974
80,6,1.4690998963
81,6,1.4690998952
82,7,1.4690998941
83,8,1.469099893
84,8,1.4690998919
85,13,1.4690998908
86,8,1.4690998897
87,9,1.4690998886
88,6,1.4690998875
89,6,1.4690998864
90,-2,1.4690998853
91,1,1.4690998842
92,2,1.4690998831
93,3,1.469099882
94,6,1.4690998809
95,11,1.4690998798
