,time_to_failure
0,1.2116516828536987
1,1.2111976146697998
2,1.2107434272766113
3,1.2103303670883179
4,1.2098758220672607
5,1.2094624042510986
6,1.2090075016021729
7,1.2085524797439575
8,1.2081387042999268
9,1.2076833248138428
10,1.2072277069091797
11,1.2068134546279907
12,1.2063575983047485
13,1.2059015035629272
14,1.20548677444458
15,1.2050304412841797
16,1.2046153545379639
17,1.2041586637496948
18,1.2037017345428467
19,1.2032862901687622
20,1.2028290033340454
21,1.2023717164993286
22,1.2019556760787964
23,1.201498031616211
24,1.2010400295257568
25,1.200623631477356
26,1.2001653909683228
27,1.19970703125
28,1.199290156364441
29,1.1988314390182495
30,1.1984142065048218
31,1.1979551315307617
32,1.197495937347412
33,1.1970782279968262
34,1.196618676185608
35,1.1961588859558105
36,1.195740818977356
37,1.19528067111969
38,1.1948204040527344
39,1.1944018602371216
40,1.1939411163330078
41,1.1930632591247559
42,1.1926021575927734
43,1.1921827793121338
44,1.1917213201522827
45,1.1912596225738525
46,1.1908397674560547
47,1.1903778314590454
48,1.189915657043457
49,1.189495325088501
50,1.189032793045044
51,1.1885701417922974
52,1.188149333000183
53,1.1876862049102783
54,1.187265157699585
55,1.186801791191101
56,1.186338186264038
57,1.1859166622161865
58,1.1854526996612549
59,1.1849886178970337
60,1.1845664978027344
61,1.1841020584106445
62,1.1836374998092651
63,1.1832149028778076
64,1.1827499866485596
65,1.182327151298523
66,1.1818617582321167
67,1.181396245956421
68,1.180972933769226
69,1.1805070638656616
70,1.1800410747528076
71,1.179617166519165
72,1.1791508197784424
73,1.1786842346191406
74,1.1782598495483398
75,1.177793025970459
76,1.1773258447647095
77,1.17690110206604
78,1.1764335632324219
79,1.1760084629058838
80,1.1755406856536865
81,1.1750725507736206
82,1.1746469736099243
83,1.1737120151519775
84,1.1732858419418335
85,1.1728169918060303
86,1.172347903251648
87,1.1719212532043457
88,1.1714518070220947
89,1.1710249185562134
90,1.1705551147460938
91,1.170085072517395
92,1.169657588005066
93,1.169187307357788
94,1.1687166690826416
95,1.1682888269424438
96,1.1678178310394287
97,1.167346715927124
98,1.1669182777404785
99,1.1664468050003052
100,1.1659752130508423
101,1.165546178817749
102,1.1650742292404175
103,1.1646449565887451
104,1.1641725301742554
105,1.163699984550476
106,1.163270115852356
107,1.162797212600708
108,1.162324070930481
109,1.1618937253952026
110,1.161420226097107
111,1.1609466075897217
112,1.1605157852172852
113,1.1600416898727417
114,1.1596105098724365
115,1.1591360569000244
116,1.1586614847183228
117,1.1582298278808594
118,1.1577547788619995
119,1.15727961063385
120,1.156847357749939
121,1.156371831893921
122,1.1558960676193237
123,1.1554633378982544
124,1.1549872159957886
125,1.1540796756744385
126,1.153602957725525
127,1.1531693935394287
128,1.1526923179626465
129,1.1522150039672852
130,1.1517809629440308
131,1.1513032913208008
132,1.1508253812789917
133,1.150390863418579
134,1.1499125957489014
135,1.1494340896606445
136,1.1489989757537842
137,1.1485202312469482
138,1.1480847597122192
139,1.147605538368225
140,1.1471260786056519
141,1.1466901302337646
142,1.1462103128433228
143,1.1457303762435913
144,1.1452938318252563
145,1.1448134183883667
146,1.1443328857421875
147,1.1438957452774048
148,1.143414855003357
149,1.1429336071014404
150,1.142496109008789
151,1.142014503479004
152,1.1415765285491943
153,1.1410945653915405
154,1.1406124830245972
155,1.1401740312576294
156,1.1396914720535278
157,1.1392086744308472
158,1.1387696266174316
159,1.1382865905761719
160,1.1378031969070435
161,1.1373636722564697
162,1.1368799209594727
163,1.1364399194717407
164,1.135955810546875
165,1.1354714632034302
166,1.1350311040878296
167,1.134063482284546
168,1.133622407913208
169,1.1331371068954468
170,1.1326515674591064
171,1.1322100162506104
172,1.1317241191864014
173,1.131282091140747
174,1.1307958364486694
175,1.1303092241287231
176,1.1298667192459106
177,1.1293798685073853
178,1.1288926601409912
179,1.1284496784210205
180,1.1279621124267578
181,1.127474308013916
182,1.1270307302474976
183,1.126542568206787
184,1.1260541677474976
185,1.1256099939346313
186,1.1251212358474731
187,1.1246767044067383
188,1.1241875886917114
189,1.123698115348816
190,1.1232531070709229
191,1.1227632761001587
192,1.1222732067108154
193,1.1218276023864746
194,1.1213371753692627
195,1.1208465099334717
196,1.120400309562683
197,1.1199091672897339
198,1.1194626092910767
199,1.1189711093902588
200,1.1184794902801514
201,1.1180323362350464
202,1.1175402402877808
203,1.117047905921936
204,1.1166001558303833
205,1.11610746383667
206,1.115614414215088
207,1.115166187286377
208,1.1141812801361084
209,1.1137323379516602
210,1.1132384538650513
211,1.1127891540527344
212,1.1122946739196777
213,1.1118000745773315
214,1.111350178718567
215,1.110855221748352
216,1.1103599071502686
217,1.1099094152450562
218,1.109413743019104
219,1.1089178323745728
220,1.1084668636322021
221,1.1079704761505127
222,1.1075190305709839
223,1.1070222854614258
224,1.1065253019332886
225,1.1060733795166016
226,1.1055759191513062
227,1.1050782203674316
228,1.1046255826950073
229,1.1041276454925537
230,1.103629231452942
231,1.1031761169433594
232,1.102677345275879
233,1.1021784543991089
234,1.101724624633789
235,1.1012252569198608
236,1.1007710695266724
237,1.100271224975586
238,1.09977126121521
239,1.0993164777755737
240,1.09881591796875
241,1.0983152389526367
242,1.0978598594665527
243,1.0973587036132812
244,1.0968574285507202
245,1.096401333808899
246,1.0958995819091797
247,1.0954431295394897
248,1.0949409008026123
249,1.0944384336471558
250,1.0934807062149048
251,1.092977523803711
252,1.0925198793411255
253,1.092016339302063
254,1.0915125608444214
255,1.0910543203353882
256,1.0905500650405884
257,1.09004545211792
258,1.089586615562439
259,1.0890816450119019
260,1.0886224508285522
261,1.0881171226501465
262,1.087611436843872
263,1.0871516466140747
264,1.086645483970642
265,1.08613920211792
266,1.0856786966323853
267,1.0851719379425049
268,1.0846649408340454
269,1.084203839302063
270,1.0836963653564453
271,1.0832347869873047
272,1.0827269554138184
273,1.0822187662124634
274,1.081756591796875
275,1.0812480449676514
276,1.080739140510559
277,1.080276370048523
278,1.079767107963562
279,1.0792574882507324
280,1.0787941217422485
281,1.0782841444015503
282,1.077773928642273
283,1.0773097276687622
284,1.0767991542816162
285,1.0763345956802368
286,1.075823426246643
287,1.0753120183944702
288,1.074846863746643
289,1.0743350982666016
290,1.0738228559494019
291,1.073357105255127
292,1.0723339319229126
293,1.0718674659729004
294,1.0713541507720947
295,1.0708873271942139
296,1.07037353515625
297,1.069859504699707
298,1.0693919658660889
299,1.0688775777816772
300,1.068362832069397
301,1.067894697189331
302,1.0673794746398926
303,1.066864013671875
304,1.0663951635360718
305,1.065879225730896
306,1.0653630495071411
307,1.0648936033248901
308,1.064376950263977
309,1.0639070272445679
310,1.0633898973464966
311,1.0628725290298462
312,1.0624018907546997
313,1.0618840456008911
314,1.0613658428192139
315,1.0608946084976196
316,1.0603760480880737
317,1.0598571300506592
318,1.0593852996826172
319,1.0588659048080444
320,1.0583935976028442
321,1.0578737258911133
322,1.0573536157608032
323,1.0568805932998657
324,1.0563600063323975
325,1.05583918094635
326,1.0553654432296753
327,1.0548441410064697
328,1.054322600364685
329,1.053848147392273
330,1.05332612991333
331,1.0528037548065186
332,1.0523287057876587
333,1.051805853843689
334,1.0508091449737549
335,1.0502855777740479
336,1.0498093366622925
337,1.0492852926254272
338,1.0487608909606934
339,1.0482840538024902
340,1.0477591753005981
341,1.047234058380127
342,1.0467565059661865
343,1.0462307929992676
344,1.045752763748169
345,1.0452266931533813
346,1.044700264930725
347,1.0442215204238892
348,1.0436946153640747
349,1.0431674718856812
350,1.0426878929138184
351,1.0421602725982666
352,1.0416324138641357
353,1.0411521196365356
354,1.0406237840652466
355,1.0400949716567993
356,1.0396140813827515
357,1.0390849113464355
358,1.0386035442352295
359,1.0380737781524658
360,1.037543773651123
361,1.0370616912841797
362,1.0365312099456787
363,1.036000370979309
364,1.0355175733566284
365,1.0349862575531006
366,1.0344547033309937
367,1.0339711904525757
368,1.033439040184021
369,1.0329550504684448
370,1.032422423362732
371,1.03188955783844
372,1.031404733657837
373,1.0308713912963867
374,1.0303375720977783
375,1.0298521518707275
376,1.0287857055664062
377,1.0282994508743286
378,1.0277644395828247
379,1.0272290706634521
380,1.0267421007156372
381,1.0262062549591064
382,1.0257189273834229
383,1.0251824855804443
384,1.0246458053588867
385,1.0241576433181763
386,1.0236204862594604
387,1.023082971572876
388,1.0225940942764282
389,1.022055983543396
390,1.0215176343917847
391,1.0210280418395996
392,1.02048921585083
393,1.0199990272521973
394,1.01945960521698
395,1.0189199447631836
396,1.0184290409088135
397,1.0178887844085693
398,1.017348289489746
399,1.0168566703796387
400,1.0163155794143677
401,1.015774130821228
402,1.0152817964553833
403,1.0147398710250854
404,1.0141977071762085
405,1.0137044191360474
406,1.0131616592407227
407,1.0126680135726929
408,1.0121246576309204
409,1.0115810632705688
410,1.0110865831375122
411,1.0105425119400024
412,1.009998083114624
413,1.0095027685165405
414,1.0089577436447144
415,1.008412480354309
416,1.0079164505004883
417,1.0068763494491577
418,1.006329894065857
419,1.005783200263977
420,1.0052858591079712
421,1.0047385692596436
422,1.0041909217834473
423,1.003692865371704
424,1.0031447410583496
425,1.002596139907837
426,1.0020973682403564
427,1.001548171043396
428,1.000998854637146
429,1.0004992485046387
430,0.9999492764472961
431,0.9994490742683411
432,0.9988985657691956
433,0.9983477592468262
434,0.997846782207489
435,0.9972953796386719
436,0.9967436790466309
437,0.9962418675422668
438,0.9956895709037781
439,0.9951369762420654
440,0.9946343302726746
441,0.9940811991691589
442,0.9935780167579651
443,0.9930242300033569
444,0.9924702048301697
445,0.9919662475585938
446,0.991411566734314
447,0.9908565878868103
448,0.9903517961502075
449,0.9897962212562561
450,0.9892403483390808
451,0.9887347221374512
452,0.9881782531738281
453,0.9876214265823364
454,0.9871149659156799
455,0.9865576028823853
456,0.9860506057739258
457,0.9854925870895386
458,0.9849342703819275
459,0.9838698506355286
460,0.9833106398582458
461,0.9828019738197327
462,0.9822421669960022
463,0.9816820025444031
464,0.9811724424362183
465,0.9806116819381714
466,0.9801016449928284
467,0.9795402884483337
468,0.9789785742759705
469,0.9784676432609558
470,0.9779052734375
471,0.9773426651954651
472,0.9768308401107788
473,0.9762676358222961
474,0.9757040143013
475,0.9751914143562317
476,0.9746271967887878
477,0.9740626215934753
478,0.9735491275787354
479,0.9729839563369751
480,0.9724698662757874
481,0.9719040989875793
482,0.9713379740715027
483,0.9708230495452881
484,0.9702562689781189
485,0.9696891903877258
486,0.9691733717918396
487,0.9686056971549988
488,0.9680376052856445
489,0.9675208926200867
490,0.9669522047042847
491,0.9664349555969238
492,0.9658656120300293
493,0.9652959704399109
494,0.9647778272628784
495,0.9642074704170227
496,0.9636368155479431
497,0.963117778301239
498,0.9625464677810669
499,0.9619748592376709
500,0.9614549279212952
501,0.9603124260902405
502,0.9597915410995483
503,0.9592183232307434
504,0.9586968421936035
505,0.9581229090690613
506,0.9575486183166504
507,0.9570262432098389
508,0.9564513564109802
509,0.9558761119842529
510,0.955352783203125
511,0.9547768831253052
512,0.9542005658149719
513,0.9536764025688171
514,0.9530994296073914
515,0.952574610710144
516,0.9519970417022705
517,0.9514190554618835
518,0.9508933424949646
519,0.9503147006034851
520,0.949735701084137
521,0.9492090344429016
522,0.9486293792724609
523,0.9480493664741516
524,0.9475217461585999
525,0.9469410181045532
526,0.9463599920272827
527,0.9458314180374146
528,0.9452497363090515
529,0.9447205662727356
530,0.9441381096839905
531,0.9435553550720215
532,0.9430252313613892
533,0.9424417614936829
534,0.9418579339981079
535,0.9413268566131592
536,0.9407423734664917
537,0.9401574730873108
538,0.9396254420280457
539,0.9390398263931274
540,0.9385071992874146
541,0.937920868396759
542,0.9373342394828796
543,0.9362157583236694
544,0.9356280565261841
545,0.9350934028625488
546,0.9345049858093262
547,0.9339162111282349
548,0.9333806037902832
549,0.9327911138534546
550,0.9322012662887573
551,0.9316647052764893
552,0.9310740828514099
553,0.9305368661880493
554,0.9299455285072327
555,0.9293538331985474
556,0.9288156628608704
557,0.9282232522964478
558,0.9276304841041565
559,0.9270912408828735
560,0.926497757434845
561,0.925903856754303
562,0.9253636598587036
563,0.9247690439224243
564,0.9242281317710876
565,0.923632800579071
566,0.923037052154541
567,0.9224951863288879
568,0.9218987226486206
569,0.9213018417358398
570,0.9207589030265808
571,0.9201613664627075
572,0.919563353061676
573,0.9190194010734558
574,0.918420672416687
575,0.9178215861320496
576,0.9172765612602234
577,0.9166767597198486
578,0.9161310791969299
579,0.9155304431915283
580,0.9149294495582581
581,0.9143827557563782
582,0.9137809872627258
583,0.9131788611412048
584,0.912631094455719
585,0.91142737865448
586,0.9108785390853882
587,0.9102745056152344
588,0.90972501039505
589,0.9091201424598694
590,0.9085149168968201
591,0.9079643487930298
592,0.9073582887649536
593,0.9067519307136536
594,0.9062002897262573
595,0.9055930972099304
596,0.9049854874610901
597,0.9044327735900879
598,0.9038243293762207
599,0.9032155871391296
600,0.9026618003845215
601,0.9020522236824036
602,0.9014976620674133
603,0.9008873105049133
604,0.9002765417098999
605,0.8997209072113037
606,0.8991093635559082
607,0.8984973430633545
608,0.8979406356811523
609,0.8973278403282166
610,0.8967146277427673
611,0.8961568474769592
612,0.8955428600311279
613,0.8949843049049377
614,0.8943694829940796
615,0.893754243850708
616,0.8931945562362671
617,0.8925785422325134
618,0.8919621109962463
619,0.8914012908935547
620,0.8907840251922607
621,0.8901662826538086
622,0.8896043300628662
623,0.888985812664032
624,0.8883668780326843
625,0.8878037929534912
626,0.8866227865219116
627,0.8860021829605103
628,0.8853811621665955
629,0.8848161697387695
630,0.8841943144798279
631,0.883571982383728
632,0.8830058574676514
633,0.8823826909065247
634,0.8817591071128845
635,0.8811918497085571
636,0.8805673718452454
637,0.8799993395805359
638,0.8793740272521973
639,0.8787482976913452
640,0.8781790733337402
641,0.8775525093078613
642,0.8769254684448242
643,0.8763550519943237
644,0.8757271766662598
645,0.8750988245010376
646,0.8745272159576416
647,0.8738980293273926
648,0.8732683658599854
649,0.8726955652236938
650,0.872065007686615
651,0.8714914321899414
652,0.8708600401878357
653,0.8702281713485718
654,0.8696533441543579
655,0.8690206408500671
656,0.8683874607086182
657,0.867811381816864
658,0.8671773076057434
659,0.8665427565574646
660,0.8659655451774597
661,0.8653301000595093
662,0.8647520542144775
663,0.8641157150268555
664,0.86347895860672
665,0.8628996014595032
666,0.862261950969696
667,0.8616238236427307
668,0.8604068160057068
669,0.8597673177719116
670,0.859185516834259
671,0.8585450649261475
672,0.8579041361808777
673,0.8573210835456848
674,0.8566792011260986
675,0.8560953140258789
676,0.8554525375366211
677,0.8548093438148499
678,0.8542241454124451
679,0.8535799980163574
680,0.8529353141784668
681,0.8523488640785217
682,0.8517032265663147
683,0.8510571718215942
684,0.8504694104194641
685,0.8498224020004272
686,0.8492338061332703
687,0.848585844039917
688,0.8479373455047607
689,0.8473474383354187
690,0.8466980457305908
691,0.8460481762886047
